0.1, 0
0.2, 0
0.3, 0
0.4, 0
0.5, 0
0.6, 0
0.7, 0
0.8, 0
0.9, 0
1, 0
1.1, 0
1.2, 0
1.3, 0
1.4, 0
1.5, 0
1.6, 0
1.7, 0
1.8, 0
1.9, 0
2, 0
2.1, 0
2.2, 0
2.3, 0
2.4, 0
2.5, 0
2.6, 0
2.7, 0
2.8, 0
2.9, 0
3, 0
3.1, 1
3.2, 0
3.3, 0
3.4, 0
3.5, 0
3.6, 0
3.7, 0
3.8, 0
3.9, 1
4, 1
4.1, 1
4.2, 1
4.3, 0
4.4, 0
4.5, 0
4.6, 0
4.7, 0
4.8, 0
4.9, 0
5, 0
5.1, 0
5.2, 0
5.3, 0
5.4, 0
5.5, 0
5.6, 0
5.7, 0
5.8, 0
5.9, 0
6, 0
6.1, 0
6.2, 0
6.3, 0
6.4, 0
6.5, 0
6.6, 0
6.7, 0
6.8, 0
6.9, 0
7, 0
7.1, 0
7.2, 0
7.3, 0
7.4, 0
7.5, 0
7.6, 0
7.7, 0
7.8, 0
7.9, 0
8, 0
8.1, 0
8.2, 0
8.3, 0
8.4, 0
8.5, 0
8.6, 0
8.7, 0
8.8, 0
8.9, 0
9, 0
9.1, 0
9.2, 0
9.3, 1
9.4, 1
9.5, 1
9.6, 1
9.7, 1
9.8, 1
9.9, 1
10, 1
10.1, 0
10.2, 0
10.3, 0
10.4, 0
10.5, 0
10.6, 1
10.7, 1
10.8, 1
10.9, 1
11, 1
11.1, 1
11.2, 1
11.3, 1
11.4, 1
11.5, 1
11.6, 1
11.7, 0
11.8, 0
11.9, 0
12, 0
12.1, 0
12.2, 0
12.3, 1
12.4, 1
12.5, 1
12.6, 1
12.7, 1
12.8, 1
12.9, 0
13, 0
13.1, 0
13.2, 0
13.3, 0
13.4, 0
13.5, 1
13.6, 1
13.7, 1
13.8, 1
13.9, 1
14, 1
14.1, 1
14.2, 0
14.3, 0
14.4, 0
14.5, 0
14.6, 0
14.7, 0
14.8, 1
14.9, 2
15, 1
15.1, 1
15.2, 1
15.3, 1
15.4, 1
15.5, 1
15.6, 1
15.7, 1
15.8, 1
15.9, 1
16, 1
16.1, 1
16.2, 2
16.3, 2
16.4, 2
16.5, 2
16.6, 2
16.7, 2
16.8, 2
16.9, 2
17, 2
17.1, 1
17.2, 1
17.3, 1
17.4, 0
17.5, 0
17.6, 1
17.7, 1
17.8, 2
17.9, 2
18, 1
18.1, 1
18.2, 1
18.3, 1
18.4, 1
18.5, 1
18.6, 1
18.7, 1
18.8, 1
18.9, 0
19, 0
19.1, 0
19.2, 1
19.3, 1
19.4, 1
19.5, 1
19.6, 1
19.7, 1
19.8, 1
19.9, 1
20, 1
20.1, 1
20.2, 1
20.3, 1
20.4, 1
20.5, 2
20.6, 2
20.7, 2
20.8, 2
20.9, 2
21, 2
21.1, 2
21.2, 2
21.3, 2
21.4, 2
21.5, 2
21.6, 2
21.7, 2
21.8, 2
21.9, 2
22, 2
22.1, 2
22.2, 2
22.3, 2
22.4, 2
22.5, 3
22.6, 3
22.7, 1
22.8, 1
22.9, 1
23, 1
23.1, 0
23.2, 0
23.3, 0
23.4, 1
23.5, 1
23.6, 0
23.7, 0
23.8, 0
23.9, 0
24, 0
24.1, 0
24.2, 0
24.3, 0
24.4, 0
24.5, 0
24.6, 0
24.7, 1
24.8, 1
24.9, 1
25, 1
25.1, 1
25.2, 1
25.3, 2
25.4, 1
25.5, 1
25.6, 1
25.7, 1
25.8, 1
25.9, 2
26, 2
26.1, 2
26.2, 1
26.3, 0
